"","player","team","position","points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","efficiency","salary"
"283","Kobe Bryant","LAL","SF",17.5909090909091,3.74242424242424,2.78787878787879,0.939393939393939,0.196969696969697,-10.8333333333333,-0.742424242424242,-1.95454545454545,66,3.53350946324443,2.5e+07
"284","Kosta Koufos","SAC","C",6.78205128205128,5.42307692307692,0.423076923076923,0.512820512820513,0.897435897435897,-2.66666666666667,-0.602564102564103,-0.615384615384615,78,4.12307525663224,7500000
"285","Kostas Papanikolaou","DEN","SF",2.57692307692308,1.53846153846154,0.615384615384615,0.5,0.192307692307692,-1.61538461538462,-0.192307692307692,-0.807692307692308,26,0.434358319015876,350000
"286","Kris Humphries","ATL","PF",6.38095238095238,3.38095238095238,0.619047619047619,0.476190476190476,0.333333333333333,-2.57142857142857,-0.619047619047619,-0.666666666666667,21,2.66903579148625,388025
"287","Kris Humphries","PHO","PF",7.25,8,1.75,0.75,0.5,-6.5,-0.5,-1,4,0.346136587772588,4600000
"288","Kristaps Porzingis","NYK","PF",14.2777777777778,7.30555555555556,1.29166666666667,0.736111111111111,1.86111111111111,-7.125,-0.541666666666667,-1.68055555555556,72,5.66365483991792,4131720
"289","Kyle Anderson","SAS","SF",4.48717948717949,3.12820512820513,1.57692307692308,0.769230769230769,0.371794871794872,-2.01282051282051,-0.269230769230769,-0.756410256410256,78,2.5341933941988,1142879
"290","Kyle Korver","ATL","SG",9.2375,3.25,2.05,0.75,0.4375,-4.35,-0.1125,-1.225,80,1.45798172264723,5746479
"291","Kyle Lowry","TOR","PG",21.2207792207792,4.74025974025974,6.41558441558442,2.05194805194805,0.441558441558442,-8.90909090909091,-1.20779220779221,-2.92207792207792,77,8.10617805788554,1.2e+07
"292","Kyle O'Quinn","NYK","PF",4.75384615384615,3.84615384615385,1.10769230769231,0.307692307692308,0.753846153846154,-2.18461538461538,-0.215384615384615,-0.938461538461538,65,2.36547976244159,3750000
"293","Kyle Singler","OKC","SF",3.39705882352941,2.07352941176471,0.352941176470588,0.441176470588235,0.132352941176471,-1.98529411764706,-0.220588235294118,-0.470588235294118,68,0.917649463758198,5e+06
"294","Kyrie Irving","CLE","PG",19.6415094339623,2.9622641509434,4.69811320754717,1.05660377358491,0.339622641509434,-9.15094339622642,-0.415094339622642,-2.33962264150943,53,6.55620885105075,14746000
"295","Lamar Patterson","ATL","SG",2.4,1.42857142857143,1.11428571428571,0.257142857142857,0.0571428571428571,-1.48571428571429,-0.171428571428571,-0.657142857142857,35,-0.406155585946333,525093
"296","LaMarcus Aldridge","SAS","PF",17.9864864864865,8.54054054054054,1.48648648648649,0.513513513513513,1.09459459459459,-6.87837837837838,-0.581081081081081,-1.33783783783784,74,9.25969691055225,19500000
"297","Lance Stephenson","MEM","SF",14.1923076923077,4.42307692307692,2.80769230769231,0.730769230769231,0.230769230769231,-6.23076923076923,-0.576923076923077,-1.76923076923077,26,6.18515488358809,9e+06
"298","Lance Thomas","NYK","PF",8.20338983050847,2.22033898305085,0.898305084745763,0.372881355932203,0.11864406779661,-3.61016949152542,-0.288135593220339,-0.966101694915254,59,3.1290828903094,1650000
"299","Langston Galloway","NYK","PG",7.6219512195122,3.51219512195122,2.52439024390244,0.939024390243902,0.268292682926829,-4.35365853658537,-0.341463414634146,-0.74390243902439,82,2.32038655769474,845059
"300","Larry Nance Jr.","LAL","PF",5.53968253968254,4.95238095238095,0.698412698412698,0.857142857142857,0.365079365079365,-2.25396825396825,-0.238095238095238,-0.650793650793651,63,3.27916088263956,1155600
"301","Lavoy Allen","IND","PF",5.41772151898734,5.36708860759494,0.962025316455696,0.329113924050633,0.531645569620253,-2.26582278481013,-0.341772151898734,-0.873417721518987,79,2.84506548938026,3700000
"302","Leandro Barbosa","GSW","SG",6.36764705882353,1.72058823529412,1.20588235294118,0.647058823529412,0.147058823529412,-2.92647058823529,-0.147058823529412,-0.779411764705882,68,0.880259488225945,2500000
"303","LeBron James","CLE","SF",25.2631578947368,7.43421052631579,6.76315789473684,1.36842105263158,0.644736842105263,-8.93421052631579,-1.73684210526316,-3.27631578947368,76,13.1951719221998,22971000
"304","Lorenzo Brown","PHO","PG",2.5,0.875,1.375,0.375,0.125,-2.125,-0.125,-1.125,8,-0.700919585678448,111444
"305","Lou Amundson","NYK","PF",1.79310344827586,1.68965517241379,0.413793103448276,0.206896551724138,0.241379310344828,-1.17241379310345,-0.448275862068966,-0.517241379310345,29,-0.0371844550741127,1650000
"306","Lou Williams","LAL","SG",15.3432835820896,2.52238805970149,2.49253731343284,0.925373134328358,0.283582089552239,-6.11940298507463,-1.07462686567164,-1.59701492537313,67,1.7374269577594,7e+06
"307","Luc Mbah a Moute","LAC","PF",3.08,2.28,0.4,0.586666666666667,0.253333333333333,-1.50666666666667,-0.36,-0.453333333333333,75,1.17718512199738,1270964
"308","Lucas Nogueira","TOR","C",2.24137931034483,1.58620689655172,0.241379310344828,0.413793103448276,0.413793103448276,-0.551724137931034,-0.241379310344828,-0.379310344827586,29,1.67244636364585,1842000
"309","Luis Montero","POR","SG",1.16666666666667,0.333333333333333,0.0833333333333333,0,0,-1.16666666666667,-0.0833333333333333,-0.333333333333333,12,-1.2670986186494,525093
